[Result Details]
Result Name,[50.13] X23 AMK Continuous, FSAE Endurance Austria 2012
Date Created,3/13/2024 4:24:21 PM
Track,FSAE Endurance Austria 2012
Track Configuration,Closed Circuit
Vehicle,X23 AMK Continuous

[KPI Values]
Lap time [s],50.1283423822945,
Percent in Corners [%],98.0920123120749,
Percent Accelerating [%],82.3029232017478,
Percent Braking [%],17.3439118442299,
Percent Coasting [%],0.242125530139191,
Percent 100% Throttle [%],1.90798768792567,
Percent TCS Enabled [%],17.5866456650259,
Lowest Speed [km/h],36.4950532685973,
Highest Speed [km/h],80.4328851618893,
Average Speed [km/h],71.4953512184341,
Energy Spent [kJ],774.821459671513,
Fuel Consumption [kg],1.07614091621044,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-22.7622213663301,
Maximum Longitudinal Acceleration [m/s^2],5.45565528770163,
Maximum Longitudinal Deceleration [m/s^2],-23.4261215851839,
Time in Sector 1 [s],50.1283423822945,
Maximum Speed in Sector 1 [km/h],80.4328851618893,
Minimum Speed in Sector 1 [km/h],36.4950532685973,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],300,
Drag Coefficient [-],1.5,
Downforce Coefficient [-],3,
Aero Efficiency [-],2,
Frontal Area [m^2],1.1,
Drivetrain Efficiency [%],98,
Tire Rolling Radius [m],0.1525,
Air Density [kg/m^3],1.204,
Rev Limit [rpm],20042,
Longitudinal Friction [-],1.64,
Lateral Friction [-],1.74,
Final Drive Ratio [-],14.3,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],100,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],80.4330180963244,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],6.19152909604531,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
68.5303731305023,0.00447577386153624,0.1,-18.6618103452265,3.22082414161506,1,14.3,17045.8307311274,6.67404733057515,13.9825808869527,719.899086532169,495.842974413818,0,98.0913071551243,0,67.1664613050735,1,80.4330180963244,1.74,1.64,0,0,0,0.112510880344712,-9.42338395532336E-05,0,3662.89908653217,
68.5912396530708,0.00972891905183679,0.2,5.42505718150025,3.21852276448819,1,14.3,17060.9703019994,16.6765139124432,29.7946038279602,721.178437884587,360.589218942294,6.38724963512043,76.9409572772163,0,66.9156933461629,1,80.4330180963244,1.64,1.74,0.0979542793204039,2.08086444624488,41.4813616136704,0.222454851548917,-0.00165414331303504,0,3664.17843788459,
68.6581247567605,0.014977402703989,0.3,5.45608937798769,3.53991680277503,1,14.3,17077.6068983559,16.6664522979782,29.8056635047699,722.585603376175,361.292801688088,0,76.8820163918302,0,66.6649253872522,1,80.4330180963244,1.64,1.74,0.196240849900267,2.78351636490193,14.0195800792772,0.332351797052694,-0.00302546959728159,0,3665.58560337618,
68.7248395995973,0.0202207734088458,0.4,5.48733912445973,3.53434876745326,1,14.3,17094.201145057,16.656416296078,29.8166601038337,723.990553089174,361.995276544587,0,76.8231108699866,0,66.4141574283415,1,80.4330180963244,1.64,1.74,0.29486221953567,3.02692009667551,4.86122012371364,0.442201398126382,-0.00420774094038596,0,3666.99055308917,
68.7913848996167,0.025459054095966,0.5,5.51880893027337,3.52879249223616,1,14.3,17110.7532207027,16.6464057987277,29.8275940099918,725.393291719642,362.696645859821,0,76.7642407463512,0,66.1633894694308,1,80.4330180963244,1.64,1.74,0.393820924466479,3.11730426323676,1.80689206140886,0.552003333235111,-0.00520048217969768,0,3668.39329171964,
68.8577613700335,0.0306922675357786,0.6,5.55050134284636,3.52324793574055,1,14.3,17127.2633026936,16.6364206986375,29.8384656051206,726.79382394699,363.396911973495,0,76.7054060553676,0,65.9126215105202,1,80.4330180963244,1.64,1.74,0.493119529780603,3.15674582110588,0.789249345377395,0.661757278001979,-0.00600321470600354,0,3669.79382394699,
68.9239697192878,0.0359204363411135,0.7,5.58241894838475,3.51771505683477,1,14.3,17143.731567243,16.6264608892358,29.8492752681623,728.192154434075,364.096077217037,0,76.6466068312579,0,65.6618535516095,1,80.4330180963244,1.64,1.74,0.592760629884494,3.1792711835671,0.451181002134641,0.771462905170627,-0.00661545642721118,0,3671.19215443407,
68.99001065109,0.041143582968712,0.8,5.6145643726272,3.51219381463641,1,14.3,17160.1581893873,16.6165262646624,29.8600233751537,729.588287827306,364.794143913653,0,76.5878431080239,0,65.4110855926988,1,80.4330180963244,1.64,1.74,0.69274684893257,3.19622326050477,0.339875073830429,0.881119884567182,-0.00703672173152626,0,3672.58828782731,
69.0558848644652,0.0463617297207202,0.9,5.64694028160645,3.50668416851009,1,14.3,17176.543342998,16.6066167197621,29.8707102992554,730.982228756744,365.491114378372,0,76.5291149194482,0,65.1603176337882,1,80.4330180963244,1.64,1.74,0.793080841303325,3.21138380610996,0.304247599522807,0.99072788306156,-0.00726652145011439,0,3673.98222875674,
