[Result Details]
Result Name,[49.40] X23 AMK Continuous, FSAE Endurance Austria 2012
Date Created,3/18/2024 6:55:36 PM
Track,FSAE Endurance Austria 2012
Track Configuration,Closed Circuit
Vehicle,X23 AMK Continuous

[KPI Values]
Lap time [s],49.3997847372489,
Percent in Corners [%],98.1146443091649,
Percent Accelerating [%],79.5000144579759,
Percent Braking [%],20.1429260851853,
Percent Coasting [%],0.235497262263457,
Percent 100% Throttle [%],1.88535569083511,
Percent TCS Enabled [%],16.8596439197232,
Lowest Speed [km/h],36.4950532685973,
Highest Speed [km/h],95.1132921576601,
Average Speed [km/h],73.2589034481854,
Energy Spent [kJ],937.254921428937,
Fuel Consumption [kg],1.30174294642908,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],23.0502071153207,
Maximum Longitudinal Acceleration [m/s^2],4.70845988091253,
Maximum Longitudinal Deceleration [m/s^2],-26.2044323062213,
Time in Sector 1 [s],49.3997847372489,
Maximum Speed in Sector 1 [km/h],95.1132921576601,
Minimum Speed in Sector 1 [km/h],36.4950532685973,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],300,
Drag Coefficient [-],1.5,
Downforce Coefficient [-],3,
Aero Efficiency [-],2,
Frontal Area [m^2],1.1,
Drivetrain Efficiency [%],98,
Tire Rolling Radius [m],0.1525,
Air Density [kg/m^3],1.204,
Rev Limit [rpm],20042,
Longitudinal Friction [-],1.64,
Lateral Friction [-],1.74,
Final Drive Ratio [-],12,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],100,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],95.7438560036184,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],6.07232928375235,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
66.2372844515052,0.00376003239295475,0.1,-17.4338223852287,3.35458080060853,1,12,13825.5622786111,10.8023061741506,22.6066545758441,672.52815121983,702.582394019541,0,98.0011944866396,0,67.1664613050735,1,95.7438560036184,1.74,1.64,0,0,0,0.112510880344712,-9.42338395532336E-05,0,3615.52815121983,
66.3029121227606,0.00919503781295456,0.2,5.06911592981372,3.35416568582848,1,12,13839.260597672,18.8084016346488,27.2579628579608,673.861488536048,336.930744268024,0,77.234491842634,0,66.9156933461629,1,95.7438560036184,1.64,1.74,0.0979542793204039,2.01135295059684,38.7540346640011,0.222454851548917,-0.00165414331303504,0,3616.86148853605,
66.3683913687011,0.0146246635786141,0.3,5.09823891751266,3.3498955937168,1,12,13852.9279362443,18.8009703735743,27.2741018549669,675.193126276366,337.596563138183,0,77.1804881806635,0,66.6649253872522,1,95.7438560036184,1.64,1.74,0.196240849900267,2.69064867199971,13.101396794057,0.332351797052694,-0.00302546959728159,0,3618.19312627637,
66.4337227721542,0.0200489324598661,0.4,5.12756897220977,3.34563283414091,1,12,13866.5644159803,18.7935558911922,27.2901832126436,676.523067372575,338.261533686287,0,77.1265195963018,0,66.4141574283415,1,95.7438560036184,1.64,1.74,0.29486221953567,2.9259863426076,4.54337787746256,0.442201398126382,-0.00420774094038596,0,3619.52306737257,
66.4989069122288,0.0254678670758695,0.5,5.15710847057553,3.34137738491872,1,12,13880.1701577561,18.7861581217791,27.3062072170186,677.851314747497,338.925657373748,0,77.0725860966147,0,66.1633894694308,1,95.7438560036184,1.64,1.74,0.393820924466479,3.01339973966282,1.68924524513855,0.552003333235111,-0.00520048217969768,0,3620.8513147475,
66.5639443643482,0.0308814898963944,0.6,5.18685982538099,3.33712922399247,1,12,13893.7452816786,18.7787770000301,27.3221741521422,679.17787131504,339.58893565752,0,77.0186876885501,0,65.9126215105202,1,95.7438560036184,1.64,1.74,0.493119529780603,3.05156751700874,0.738307863261652,0.661757278001979,-0.00600321470600354,0,3622.17787131504,
66.6288357002837,0.0362898232431907,0.7,5.21682548618751,3.33288832942767,1,12,13907.2899070923,18.7714124610547,27.3380843001065,680.502739980247,340.251369990123,0,76.9648243789383,0,65.6618535516095,1,95.7438560036184,1.64,1.74,0.592760629884494,3.07338329886895,0.422411709422235,0.771462905170627,-0.00661545642721118,0,3623.50273998025,
66.6935814881873,0.0416928892913412,0.8,5.24700794005238,3.32865467941203,1,12,13920.8041525864,18.7640644403732,27.3539379410628,681.825923639344,340.912961819672,0,76.9109961744931,0,65.4110855926988,1,95.7438560036184,1.64,1.74,0.69274684893257,3.0898123769996,0.318420878692148,0.881119884567182,-0.00703672173152626,0,3624.82592363934,
66.7581822926243,0.0470907100705981,0.9,5.27740971225069,3.32442825225439,1,12,13934.2881360013,18.7567328739127,27.3697353532399,683.147425179793,341.573712589896,0,76.8572030818121,0,65.1603176337882,1,95.7438560036184,1.64,1.74,0.793080841303325,3.10451061079965,0.285151268850521,0.99072788306156,-0.00726652145011439,0,3626.14742517979,
