speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
3.6,0,0.1,0,5.493641769,1,12,1E-14,0,0,1.9866,0,0,0,0,0,1,0,0,0,0,0,0,0.1,-1.84E-17,0,2748.7866
5.470409311,0.1,0.2,0,5.195581419,1,12,1141.826469,19.39506698,2.319102842,4.58717253,2.293586265,0,100,0,0,1,0,1.74,1.64,0,0,0,0.2,-3.67E-17,0,2751.387173
6.664111163,0.165808604,0.3,0,5.038609356,1,12,1390.985223,19.37127487,2.821690253,6.807535194,3.403767597,0,100,0,0,1,0,1.74,1.64,0,0,0,0.3,-5.51E-17,0,2753.607535
7.641900781,0.219829312,0.4,0,5.027853944,1,12,1595.077094,19.35178799,3.232446859,8.95175565,4.475877825,0,100,0,0,1,0,1.74,1.64,0,0,0,0.4,-7.35E-17,0,2755.751756
8.492982645,0.26693801,0.5,0,5.018428364,1,12,1772.721534,19.33482749,3.589297363,11.05670959,5.528354796,0,100,0,0,1,0,1.74,1.64,0,0,0,0.5,-9.18E-17,0,2757.85671
9.257456794,0.309325945,0.6,0,5.009772899,1,12,1932.288537,19.31959372,3.909296265,13.13677668,6.568388341,0,100,0,0,1,0,1.74,1.64,0,0,0,0.6,-1.10E-16,0,2759.936777
9.957662661,0.348213516,0.7,0,5.001640097,1,12,2078.440963,19.30564122,4.201946725,15.19918316,7.599591579,0,100,0,0,1,0,1.74,1.64,0,0,0,0.7,-1.29E-16,0,2761.999183
10.60762303,0.384366578,0.8,0,4.9938936,1,12,2214.105757,19.29269041,4.47321502,17.24811284,8.62405642,0,100,0,0,1,0,1.74,1.64,0,0,0,0.8,-1.47E-16,0,2764.048113
11.21684879,0.418304436,0.9,0,4.986448491,1,12,2341.268107,19.28055168,4.72714826,19.28622196,9.643110981,0,100,0,0,1,0,1.74,1.64,0,0,0,0.9,-1.65E-16,0,2766.086222
11.7921534,0.450399011,1,0,4.979247515,1,12,2461.350168,19.26908914,4.966646012,21.31531082,10.65765541,0,100,0,0,1,0,1.74,1.64,0,0,0,1,-1.84E-16,0,2768.115311
12.33862151,0.480927786,1.1,0,4.972249843,1,12,2575.413252,19.25820142,5.193872314,23.33666084,11.66833042,0,100,0,0,1,0,1.74,1.64,0,0,0,1.1,-2.02E-16,0,2770.136661
12.86017013,0.510104465,1.2,0,4.965425132,1,12,2684.274944,19.24781045,5.41049436,25.35121961,12.67560981,0,100,0,0,1,0,1.74,1.64,0,0,0,1.2,-2.20E-16,0,2772.15122
13.35989447,0.538097874,1.3,0,4.958750083,1,12,2788.581305,19.2378545,5.61782964,27.35970971,13.67985486,0,100,0,0,1,0,1.74,1.64,0,0,0,1.3,-2.39E-16,0,2774.15971
13.84029194,0.565044195,1.4,0,4.952206332,1,12,2888.853607,19.2282838,5.816941229,29.36269618,14.68134809,0,100,0,0,1,0,1.74,1.64,0,0,0,1.4,-2.57E-16,0,2776.162696
14.30341293,0.591055207,1.5,0,4.9457791,1,12,2985.51983,19.21905746,6.008701966,31.3606303,15.68031515,0,100,0,0,1,0,1.74,1.64,0,0,0,1.5,-2.76E-16,0,2778.16063
14.75096592,0.616224025,1.6,0,4.939456272,1,12,3078.93658,19.21014142,6.19383916,33.35387902,16.67693951,0,100,0,0,1,0,1.74,1.64,0,0,0,1.6,-2.94E-16,0,2780.153879
15.18439267,0.640629206,1.7,0,4.933227772,1,12,3169.404789,19.20150695,6.372966589,35.34274539,17.67137269,0,100,0,0,1,0,1.74,1.64,0,0,0,1.7,-3.12E-16,0,2782.142745
15.60492331,0.664337761,1.8,0,4.927085113,1,12,3257.181221,19.19312951,6.546607957,37.32748305,18.66374152,0,100,0,0,1,0,1.74,1.64,0,0,0,1.8,-3.31E-16,0,2784.127483
16.01361761,0.687407403,1.9,0,4.921021059,1,12,3342.487082,19.18498798,6.715214457,39.30830683,19.65415341,0,100,0,0,1,0,1.74,1.64,0,0,0,1.9,-3.49E-16,0,2786.108307
16.41139644,0.70988827,2,0,4.915029384,1,12,3425.51458,19.177064,6.879178139,41.2854006,20.6427003,0,100,0,0,1,0,1.74,1.64,0,0,0,2,-3.67E-16,0,2788.085401
16.79906606,0.731824246,2.1,0,4.909104686,1,12,3506.432003,19.16934149,7.038842271,43.25892324,21.62946162,0,100,0,0,1,0,1.74,1.64,0,0,0,2.1,-3.86E-16,0,2790.058923
17.1773372,0.753254009,2.2,0,4.903242235,1,12,3585.387704,19.16180631,7.194509473,45.22901314,22.61450657,0,100,0,0,1,0,1.74,1.64,0,0,0,2.2,-4.04E-16,0,2792.029013
17.54684031,0.774211855,2.3,0,4.897437874,1,12,3662.513273,19.15444588,7.346448155,47.19579183,23.59789591,0,100,0,0,1,0,1.74,1.64,0,0,0,2.3,-4.22E-16,0,2793.995792
17.90813769,0.79472837,2.4,0,4.891687909,1,12,3737.926079,19.14724898,7.494897731,49.15936671,24.57968336,0,100,0,0,1,0,1.74,1.64,0,0,0,2.4,-4.41E-16,0,2795.959367
18.26173347,0.814830962,2.5,0,4.885989045,1,12,3811.731345,19.14020556,7.640072841,51.11983335,25.55991668,0,100,0,0,1,0,1.74,1.64,0,0,0,2.5,-4.59E-16,0,2797.919833
18.60808167,0.834544316,2.6,0,4.880338335,1,12,3884.023841,19.1333066,7.782166812,53.07727724,26.53863862,0,100,0,0,1,0,1.74,1.64,0,0,0,2.6,-4.78E-16,0,2799.877277
18.94759297,0.853890748,2.7,0,4.87473313,1,12,3954.889287,19.12654389,7.921354503,55.03177529,27.51588765,0,100,0,0,1,0,1.74,1.64,0,0,0,2.7,-4.96E-16,0,2801.831775
19.28064032,0.872890523,2.8,0,4.869171027,1,12,4024.405526,19.11990998,8.057794698,56.983397,28.4916985,0,100,0,0,1,0,1.74,1.64,0,0,0,2.8,-5.14E-16,0,2803.783397
19.6075636,0.891562102,2.9,0,4.863649844,1,12,4092.643501,19.11339813,8.191632121,58.9322055,29.46610275,0,100,0,0,1,0,1.74,1.64,0,0,0,2.9,-5.33E-16,0,2805.732205
19.92867363,0.909922364,3,0,4.8581676,1,12,4159.668088,19.10700213,8.322999116,60.87825833,30.43912916,0,100,0,0,1,0,1.74,1.64,0,0,0,3,-5.51E-16,0,2807.678258
20.24425551,0.927986787,3.1,0,4.852722479,1,12,4225.538798,19.10071629,8.452017072,62.82160817,31.41080409,0,100,0,0,1,0,1.74,1.64,0,0,0,3.1,-5.69E-16,0,2809.621608
20.55457156,0.94576961,3.2,0,4.847312813,1,12,4290.310383,19.09453539,8.578797686,64.76230344,32.38115172,0,100,0,0,1,0,1.74,1.64,0,0,0,3.2,-5.88E-16,0,2811.562303
20.85986376,0.963283962,3.3,0,4.841937074,1,12,4354.033351,19.08845462,8.703443995,66.70038874,33.35019437,0,100,0,0,1,0,1.74,1.64,0,0,0,3.3,-6.06E-16,0,2813.500389
21.16035593,0.980541984,3.4,0,4.83659385,1,12,4416.754418,19.08246948,8.826051282,68.63590534,34.31795267,0,100,0,0,1,0,1.74,1.64,0,0,0,3.4,-6.25E-16,0,2815.435905
21.45625555,0.997554931,3.5,0,4.831281827,1,12,4478.516893,19.07657586,8.946707905,70.56889153,35.28444576,0,100,0,0,1,0,1.74,1.64,0,0,0,3.5,-6.43E-16,0,2817.368892
21.74775542,1.014333254,3.6,0,4.8259998,1,12,4539.361018,19.07076993,9.065495958,72.4993829,36.24969145,0,100,0,0,1,0,1.74,1.64,0,0,0,3.6,-6.61E-16,0,2819.299383
22.03503507,1.030886687,3.7,0,4.820746645,1,12,4599.324266,19.06504808,9.182491872,74.42741268,37.21370634,0,100,0,0,1,0,1.74,1.64,0,0,0,3.7,-6.80E-16,0,2821.227413
22.31826202,1.047224305,3.8,0,4.815521307,1,12,4658.441601,19.05940701,9.297766984,76.3530119,38.17650595,0,100,0,0,1,0,1.74,1.64,0,0,0,3.8,-6.98E-16,0,2823.153012
22.59759283,1.063354594,3.9,0,4.810322816,1,12,4716.745707,19.05384356,9.411387948,78.2762097,39.13810485,0,100,0,0,1,0,1.74,1.64,0,0,0,3.9,-7.16E-16,0,2825.07621
22.87317417,1.079285494,4,0,4.805150248,1,12,4774.26719,19.04835483,9.523417218,80.19703339,40.09851669,0,100,0,0,1,0,1.74,1.64,0,0,0,4,-7.35E-16,0,2826.997033
23.14514357,1.095024455,4.1,0,4.800002755,1,12,4831.034764,19.04293808,9.633913353,82.11550872,41.05775436,0,100,0,0,1,0,1.74,1.64,0,0,0,4.1,-7.53E-16,0,2828.915509
23.4136303,1.110578474,4.2,0,4.794879528,1,12,4887.075407,19.03759072,9.742931384,84.03165997,42.01582998,0,100,0,0,1,0,1.74,1.64,0,0,0,4.2,-7.72E-16,0,2830.83166
23.67875598,1.125954133,4.3,0,4.789779811,1,12,4942.414505,19.03231034,9.850523109,85.94551008,42.97275504,0,100,0,0,1,0,1.74,1.64,0,0,0,4.3,-7.90E-16,0,2832.74551
23.94063523,1.141157635,4.4,0,4.784702898,1,12,4997.075984,19.02709463,9.956737315,87.85708077,43.92854039,0,100,0,0,1,0,1.74,1.64,0,0,0,4.4,-8.08E-16,0,2834.657081
24.19937623,1.15619483,4.5,0,4.779648111,1,12,5051.082423,19.02194148,10.06162008,89.76639265,44.88319633,0,100,0,0,1,0,1.74,1.64,0,0,0,4.5,-8.27E-16,0,2836.566393
24.45508121,1.171071246,4.6,0,4.774614828,1,12,5104.455158,19.01684881,10.1652149,91.67346529,45.83673265,0,100,0,0,1,0,1.74,1.64,0,0,0,4.6,-8.45E-16,0,2838.473465
24.70784687,1.185792113,4.7,0,4.769602438,1,12,5157.214376,19.01181472,10.26756299,93.57831732,46.78915866,0,100,0,0,1,0,1.74,1.64,0,0,0,4.7,-8.63E-16,0,2840.378317
24.95776484,1.200362383,4.8,0,4.764610388,1,12,5209.379204,19.00683735,10.36870332,95.48096647,47.74048323,0,100,0,0,1,0,1.74,1.64,0,0,0,4.8,-8.82E-16,0,2842.280966
25.20492203,1.214786752,4.9,0,4.759638129,1,12,5260.967779,19.00191501,10.46867292,97.38142969,48.69071484,0,100,0,0,1,0,1.74,1.64,0,0,0,4.9,-9.00E-16,0,2844.18143
25.44940095,1.229069676,5,0,4.754685163,1,12,5311.997324,18.99704602,10.56750691,99.27972315,49.63986158,0,100,0,0,1,0,1.74,1.64,0,0,0,5,-9.18E-16,0,2846.079723
25.69128001,1.243215392,5.1,0,4.749750998,1,12,5362.484207,18.99222885,10.66523868,101.1758624,50.58793118,0,100,0,0,1,0,1.74,1.64,0,0,0,5.1,-9.37E-16,0,2847.975862
25.93063384,1.257227929,5.2,0,4.744835181,1,12,5412.444005,18.98746199,10.76189999,103.0698621,51.53493106,0,100,0,0,1,0,1.74,1.64,0,0,0,5.2,-9.55E-16,0,2849.869862
26.16753352,1.271111122,5.3,0,4.739937268,1,12,5461.891552,18.98274403,10.85752111,104.9617367,52.48086834,0,100,0,0,1,0,1.74,1.64,0,0,0,5.3,-9.74E-16,0,2851.761737
26.40204678,1.284868628,5.4,0,4.735056847,1,12,5510.840988,18.97807361,10.95213087,106.8514997,53.42574986,0,100,0,0,1,0,1.74,1.64,0,0,0,5.4,-9.92E-16,0,2853.6515
26.63423828,1.298503935,5.5,0,4.730193516,1,12,5559.305807,18.97344946,11.04575681,108.7391644,54.36958218,0,100,0,0,1,0,1.74,1.64,0,0,0,5.5,-1.01E-15,0,2855.539164
26.86416975,1.312020372,5.6,0,4.725346902,1,12,5607.298896,18.96887033,11.13842519,110.6247432,55.31237162,0,100,0,0,1,0,1.74,1.64,0,0,0,5.6,-1.03E-15,0,2857.424743
27.0919002,1.325421121,5.7,0,4.720516633,1,12,5654.832571,18.96433507,11.23016116,112.5082485,56.25412427,0,100,0,0,1,0,1.74,1.64,0,0,0,5.7,-1.05E-15,0,2859.308249
27.31748609,1.338709225,5.8,0,4.715702371,1,12,5701.918615,18.95984252,11.32098873,114.389692,57.19484602,0,100,0,0,1,0,1.74,1.64,0,0,0,5.8,-1.07E-15,0,2861.189692
27.54098145,1.351887597,5.9,0,4.710903776,1,12,5748.568308,18.95539164,11.41093092,116.269085,58.13454252,0,100,0,0,1,0,1.74,1.64,0,0,0,5.9,-1.08E-15,0,2863.069085
27.76243805,1.364959027,6,0,4.706120537,1,12,5794.792456,18.95098137,11.50000975,118.1464385,59.07321926,0,100,0,0,1,0,1.74,1.64,0,0,0,6,-1.10E-15,0,2864.946439
27.98190554,1.377926188,6.1,0,4.701352341,1,12,5840.601422,18.94661074,11.58824638,120.021763,60.01088152,0,100,0,0,1,0,1.74,1.64,0,0,0,6.1,-1.12E-15,0,2866.821763
28.19943155,1.390791645,6.2,0,4.696598907,1,12,5886.005145,18.94227878,11.67566107,121.8950689,60.94753445,0,100,0,0,1,0,1.74,1.64,0,0,0,6.2,-1.14E-15,0,2868.695069
28.4150618,1.40355786,6.3,0,4.691859943,1,12,5931.013172,18.93798461,11.76227329,123.766366,61.88318299,0,100,0,0,1,0,1.74,1.64,0,0,0,6.3,-1.16E-15,0,2870.566366
28.62884022,1.416227197,6.4,0,4.687135186,1,12,5975.634671,18.93372732,11.84810173,125.6356639,62.81783197,0,100,0,0,1,0,1.74,1.64,0,0,0,6.4,-1.18E-15,0,2872.435664
28.84080906,1.428801929,6.5,0,4.682424373,1,12,6019.878459,18.92950609,11.93316439,127.5029721,63.75148605,0,100,0,0,1,0,1.74,1.64,0,0,0,6.5,-1.19E-15,0,2874.302972
29.05100894,1.441284242,6.6,0,4.677727256,1,12,6063.753016,18.9253201,12.01747855,129.3682995,64.68414976,0,100,0,0,1,0,1.74,1.64,0,0,0,6.6,-1.21E-15,0,2876.1683
29.25947896,1.453676238,6.7,0,4.673043597,1,12,6107.266504,18.92116857,12.10106085,131.231655,65.61582751,0,100,0,0,1,0,1.74,1.64,0,0,0,6.7,-1.23E-15,0,2878.031655
